amfi_code,date,nav
125497,2026-06-20,150.25
125497,2026-06-21,151.10
125497,2026-06-22,151.10
125497,2026-06-23,152.45
125497,2026-06-24,153.00
119551,2026-06-20,82.40
119551,2026-06-21,82.95
119551,2026-06-22,83.10
119551,2026-06-23,83.75
119551,2026-06-24,84.20
120503,2026-06-20,96.30
120503,2026-06-21,96.80
120503,2026-06-22,97.25
120503,2026-06-23,97.10
120503,2026-06-24,98.00
118632,2026-06-20,74.50
118632,2026-06-21,75.00
118632,2026-06-22,75.45
118632,2026-06-23,75.90
118632,2026-06-24,76.30
119092,2026-06-20,68.15
119092,2026-06-21,68.60
119092,2026-06-22,68.95
119092,2026-06-23,69.20
119092,2026-06-24,69.80
120841,2026-06-20,55.40
120841,2026-06-21,55.95
120841,2026-06-22,56.10
120841,2026-06-23,56.55
120841,2026-06-24,57.00
